Series ID,Year,Period,Label,Value, City
LAUCT262200000000003,1999,M03,1999 Mar,8.3, Detroit
LAUCT262200000000003,1999,M04,1999 Apr,7.1, Detroit
LAUCT262200000000003,1999,M05,1999 May,7.3, Detroit
LAUCT262200000000003,1999,M06,1999 Jun,8.6, Detroit
LAUCT262200000000003,1999,M07,1999 Jul,9.3, Detroit
LAUCT262200000000003,1999,M08,1999 Aug,7.4, Detroit
LAUCT262200000000003,1999,M09,1999 Sep,7.6, Detroit
LAUCT262200000000003,1999,M10,1999 Oct,7.5, Detroit
LAUCT262200000000003,1999,M11,1999 Nov,6.6, Detroit
LAUCT262200000000003,1999,M12,1999 Dec,6.2, Detroit
LAUCT262200000000003,2000,M01,2000 Jan,6.6, Detroit
LAUCT262200000000003,2000,M02,2000 Feb,6.1, Detroit
LAUCT262200000000003,2000,M03,2000 Mar,6.8, Detroit
LAUCT262200000000003,2000,M04,2000 Apr,5.1, Detroit
LAUCT262200000000003,2000,M05,2000 May,6.1, Detroit
LAUCT262200000000003,2000,M06,2000 Jun,7.3, Detroit
LAUCT262200000000003,2000,M07,2000 Jul,8.7, Detroit
LAUCT262200000000003,2000,M08,2000 Aug,7.8, Detroit
LAUCT262200000000003,2000,M09,2000 Sep,6.9, Detroit
LAUCT262200000000003,2000,M10,2000 Oct,6.2, Detroit
LAUCT262200000000003,2000,M11,2000 Nov,5.9, Detroit
LAUCT262200000000003,2000,M12,2000 Dec,6.1, Detroit
LAUCT262200000000003,2001,M01,2001 Jan,9.8, Detroit
LAUCT262200000000003,2001,M02,2001 Feb,8.5, Detroit
LAUCT262200000000003,2001,M03,2001 Mar,9.1, Detroit
LAUCT262200000000003,2001,M04,2001 Apr,7.7, Detroit
LAUCT262200000000003,2001,M05,2001 May,8.3, Detroit
LAUCT262200000000003,2001,M06,2001 Jun,9.6, Detroit
LAUCT262200000000003,2001,M07,2001 Jul,10.1, Detroit
LAUCT262200000000003,2001,M08,2001 Aug,10.0, Detroit
LAUCT262200000000003,2001,M09,2001 Sep,9.5, Detroit
LAUCT262200000000003,2001,M10,2001 Oct,10.4, Detroit
LAUCT262200000000003,2001,M11,2001 Nov,10.4, Detroit
LAUCT262200000000003,2001,M12,2001 Dec,10.6, Detroit
LAUCT262200000000003,2002,M01,2002 Jan,12.4, Detroit
LAUCT262200000000003,2002,M02,2002 Feb,11.5, Detroit
LAUCT262200000000003,2002,M03,2002 Mar,12.1, Detroit
LAUCT262200000000003,2002,M04,2002 Apr,10.9, Detroit
LAUCT262200000000003,2002,M05,2002 May,11.2, Detroit
LAUCT262200000000003,2002,M06,2002 Jun,13.0, Detroit
LAUCT262200000000003,2002,M07,2002 Jul,13.7, Detroit
LAUCT262200000000003,2002,M08,2002 Aug,12.0, Detroit
LAUCT262200000000003,2002,M09,2002 Sep,11.0, Detroit
LAUCT262200000000003,2002,M10,2002 Oct,11.1, Detroit
LAUCT262200000000003,2002,M11,2002 Nov,11.2, Detroit
LAUCT262200000000003,2002,M12,2002 Dec,11.6, Detroit
LAUCT262200000000003,2003,M01,2003 Jan,13.6, Detroit
LAUCT262200000000003,2003,M02,2003 Feb,14.0, Detroit
LAUCT262200000000003,2003,M03,2003 Mar,14.3, Detroit
LAUCT262200000000003,2003,M04,2003 Apr,13.4, Detroit
LAUCT262200000000003,2003,M05,2003 May,13.9, Detroit
